"Continue","Continuar"
"Connect","Ingresá con Facebook"
"Disconnect","Desconectar"
"Login","Iniciar sesión"
"Register","Registrarse"
"Unable to retrieve access code","No se puede recuperar el código de acceso"
"Required HTTP method is not supported","Método HTTP no es soportado"
"Unspecified OAuth error occurred","Se produjo un error, no especificado OAuth"
"HTTP error %d occurred while issuing request","Error HTTP %d ocurrió al emitir la solicitud"
"No access token available","Token de acceso no disponibles"
"No refresh token, nothing to revoke","No existe token de actualización, nada va a revocar"
"No refresh token, unable to refresh access token","No token de actualización, incapaz de refrescar token de acceso"
"Unspecified OAuth error occurred","Se produjo un error no especificado OAuth"
"Unable to retrieve request token","No se puede recuperar solicitud de token"
"Unable to retrieve access token","No se puede recuperar el token de acceso"
"Unable to proceeed without an access token","No se puede continuar sin un token de acceso"
"You have successfully disconnected your Facebook account from our store account.","Usted ha desconectado con éxito su cuenta de Facebook desde nuestra cuenta de la tienda."
"Facebook Connect process aborted.","Facebook Connect proceso abortado."
"Sorry, "%s" error occured. Please try again.","Lo sentimos, se produjo el error "%s" Por favor, vuelva a intentarlo."
"Your Facebook account is already connected to one of our store accounts.","Tu cuenta de Facebook ya está conectado a una de nuestras cuentas de tiendas."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Tu cuenta de Facebook ya está conectado a tu cuenta de tienda. Ahora puede iniciar sesión utilizando nuestro botón de Facebook Connect o utilizando los datos que recibirá a su dirección de correo electrónico."
"You have successfully logged in using your Facebook account.","Ha iniciado sesión con éxito en la utilización de su cuenta de Facebook."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Hemos descubierto que usted ya tiene una cuenta en nuestra tienda. Tu cuenta de Facebook ya está conectada a su cuenta de la tienda."
"Sorry, could not retrieve your Facebook first name. Please try again.","Lo sentimos, no pudo recuperar su nombre de Facebook. Por favor, vuelva a intentarlo."
"Sorry, could not retrieve your Facebook last name. Please try again.","Lo sentimos, no pudo recuperar su apellido en Facebook. Por favor, vuelva a intentarlo."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Tu cuenta de Facebook ya está conectada a su nueva cuenta de usuario en nuestra tienda. Ahora puede iniciar sesión utilizando nuestro botón de Facebook Connect o utilizando los datos que recibirá en su dirección de correo electrónico."
"You have successfully disconnected your Google account from our store account.","You have successfully disconnected your Google account from our store account."
"Google Connect process aborted.","Google Connect process aborted."
"Sorry, "%s" error occured. Please try again.","Sorry, "%s" error occured. Please try again."
"Your Google account is already connected to one of our store accounts.","Your Google account is already connected to one of our store accounts."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address."
"You have successfully logged in using your Google account.","You have successfully logged in using your Google account."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","We have discovered you already have an account at our store. Your Google account is now connected to your store account."
"Sorry, could not retrieve your Google first name. Please try again.","Sorry, could not retrieve your Google first name. Please try again."
"Sorry, could not retrieve your Google last name. Please try again.","Sorry, could not retrieve your Google last name. Please try again."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address."
"You have successfully disconnected your Twitter account from our store account.","You have successfully disconnected your Twitter account from our store account."
"Twitter Connect process aborted.","Twitter Connect process aborted."
"Your Twitter account is already connected to one of our store accounts.","Your Twitter account is already connected to one of our store accounts."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address."
"You have successfully logged in using your Twitter account.","You have successfully logged in using your Twitter account."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","We have discovered you already have an account at our store. Your Twitter account is now connected to your store account."
"Sorry, could not retrieve your Twitter last name. Please try again.","Sorry, could not retrieve your Twitter last name. Please try again."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>."
"Google Connect","Google Connect"
"Facebook Connect","Conectar con Facebook"
"Twitter Connect","Twitter Connect"
"Customer My Account Google Connect","Customer My Account Google Connect"
"Customer My Account Facebook Connect","Mi cuenta con Facebook Connect"
"Customer My Account Twitter Connect","Customer My Account Twitter Connect"
"Connected as %s","Connected as %s"
"Email: %s","Email: %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Gender: %s"
"Birthday: %s","Birthday: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Puede conectar su cuenta de la tienda con su cuenta de Facebook para que pueda entrar más fácil en el futuro."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","You can connect store account with you Google account so you could login easier in the future."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","You can connect store account with your Twitter account so you could login easier in the future."
"You can continue with checkout using your <strong>Google</strong> account.","You can continue with checkout using your <strong>Google</strong> account."
"You can continue with checkout using your <strong>Facebook</strong> account.","Puede continuar con el checkout utilizando su cuenta de <strong>Facebook</strong>."
"You can continue with checkout using your <strong>Twitter</strong> account.","You can continue with checkout using your <strong>Twitter</strong> account."
"You can login using your Google account.","You can login using your Google account."
"You can login using your Facebook account.","Pod&eacute;s conectarte usando tu cuenta de Facebook"
"You can login using your Twitter account.","You can login using your Twitter account."
"You can register using your Google account.","You can register using your Google account."
"You can register using your Facebook account.","Usted puede registrarse usando su cuenta de Facebook."
"You can register using your Twitter account.","You can register using your Twitter account."