"%s and greater","%s y mayor"
"All","Todo"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Autogenerated site map"
"Advanced Search","B̼squeda Avanzada"
"Catalog Advanced Search","Catalog Advanced Search"
"Catalog Search","Buscar en el catalogo"
"Don't see what you're looking for?","No encontras lo que estas buscando?"
"Go","Ir"
"Go to Home Page","Ir al inicio"
"Grid","Grilla"
"Home","Inicio"
"List","List"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Modify your search"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Popular Search Terms"
"Popular search terms","Popular search terms"
"Relevance","Relevance"
"Required Fields","Campos obligatorios"
"Results","Resultados"
"Search","Buscar"
"Search entire store here...","Buscar"
"Search results for '%s'","Resultados de busqueda para '%s'"
"Search results for: '%s'","Resultados de busqueda para: '%s'"
"Search Settings","Configuracion de busqueda"
"Search Site","Sitio de busqueda"
"Search Terms","Terminos de busqueda"
"Search Type","Tipo de busqueda"
"Subscribe to Feed","Subscribirse!"
"There are no search terms available.","No hay terminos de busqueda disponibles."
"up to %s","Hasta %s"
"Yes","Si"
"You have to specify at least one search term","Tenes que especificar al menos un termino de busqueda"
"Your search returns no results.","Tu busqueda no obtuvo resultados!"
